Pais Area poblacion Namerica Samerica Europe Asia Oceania Africa lat long Dia_inicio PIB Gasto_Salud 1 2 3 4 5 6 7 8 9 10 11 12 13 14 15 16 17 18 19 20 21 22 23 24 25 26 27 28 29 30 31 32 33 34
Afghanistan 250000 29835392 0 0 0 1 0 0 33.0 65.0 33 18734.0 11.8 1 1 1 1 1 1 1 1 1 1 1 1 1 4 4 5 7 7 7 11 16 21 22 22 22 24 24 40 40 74 84 94 110 110
Algeria 919590 34994937 0 0 0 0 0 1 28.0339 1.6596 34 172781.0 6.4 1 1 1 1 1 1 3 5 12 12 17 17 19 20 20 20 24 26 37 48 54 60 74 87 90 139 201 230 264 302 367 409 454 511
Australia 2967893 21766711 0 0 0 0 1 0 -31.9961875 141.2327875 4 1376255.0 9.2 4 5 5 6 9 9 12 12 12 13 13 14 15 15 15 15 15 15 15 15 15 15 15 15 15 15 15 15 15 15 15 15 15 15
Austria 32382 8217280 0 0 1 0 0 0 47.5162 14.5501 34 447718.0 10.4 2 2 3 3 9 14 18 21 29 41 55 79 104 131 182 246 302 504 655 860 1018 1332 1646 2013 2388 2814 3582 4474 5283 5588 6909 7657 8271 8788
Bahrain 257 1214705 0 0 0 1 0 0 26.0275 50.55 33 38184.0 4.7 1 23 33 33 36 41 47 49 49 52 55 60 85 85 95 110 195 195 195 210 214 214 228 256 278 285 305 334 377 392 419 458 466 476
Belgium 11787 10431477 0 0 1 0 0 0 50.8333 4.0 13 517609.0 10.3 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 2 8 13 23 50 109 169 200
Brazil 3286470 203429773 0 1 0 0 0 0 -14.235 -51.9253 35 1847020.0 9.5 1 1 1 2 2 2 2 4 4 13 13 20 25 31 38 52 151 151 162 200 321 372 621 793 1021 1546 1924 2247 2554 2985 3417 3904 4256 4579
Cambodia 69900 14701717 0 0 0 1 0 0 11.55 104.9167 5 26730.0 5.9 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1
Canada 3855081 34030589 1 0 0 0 0 0 47.98290714285714 -88.40206428571427 4 1730914.0 10.6 1 1 2 2 2 4 4 4 4 4 5 5 7 7 7 7 7 7 7 7 7 7 8 8 8 8 9 9 9 10 11 11 13 14
China 3705386 1336718015 0 0 0 1 0 0 32.828384848484845 111.64908181818181 0 14140163.0 5.2 548 643 920 1406 2075 2877 5509 6087 8141 9802 11891 16630 19716 23707 27440 30587 34110 36814 39829 42354 44386 44759 59895 66358 68413 70513 72434 74211 74619 75077 75550 77001 77022 77241
