Pais,Area,poblacion,Namerica,Samerica,Europe,Asia,Oceania,Africa,lat,longitud,Dia_inicio,PIB,Gasto_Salud,1,2,3,4,6
Afghanistan,652230.0,32225560.0,0, 0, 0, 1, 0, 0,33.0,65.0,33,18734.0,0.52,1,1,1,1,1
Albania,28748.0,2845955.0,0, 0, 1, 0, 0, 0,41.1533,20.1683,47,15418.0,2.77,2,10,12,23,38
Algeria,2381741.0,43000000.0,0, 0, 0, 0, 0, 1,28.0339,1.6596,34,172781.0,4.5,1,1,1,1,1
Angola,1246700.0,31127674.0,0, 0, 0, 0, 0, 1,-11.2027,17.8739,58,91527.0,1.27,1,2,2,3,3
Andorra,468.0,77543.0,0, 0, 1, 0, 0, 0,42.5063,1.5218,40,3237.0,5.09,1,1,1,1,1
Antigua and Barbuda,442.0,96453.0,1, 0, 0, 0, 0, 0,17.0608,-61.7964,51,1688.0,2.61,1,1,1,1,1
Argentina,2780400.0,44938712.0,0, 1, 0, 0, 0, 0,-38.4161,-63.6167,41,445469.0,5.62,1,1,1,2,12
Armenia,29743.0,2957500.0,0, 0, 0, 1, 0, 0,40.0691,45.0382,39,13444.0,1.63,1,1,1,1,1
Australia,7692024.0,25665337.0,0, 0, 0, 0, 1, 0,-31.9961875,141.2327875,4,1376255.0,6.41,4,5,5,6,9
Austria,83871.0,8902600.0,0, 0, 1, 0, 0, 0,47.5162,14.5501,34,447718.0,7.72,2,2,3,3,14
Azerbaijan,86600.0,10067108.0,0, 0, 0, 1, 0, 0,40.1431,47.5769,39,47171.0,1.38,3,3,3,3,6
Bahamas,13943.0,385340.0,1, 0, 0, 0, 0, 0,25.0343,-77.3963,54,12664.0,3.18,1,1,1,3,4
Bahrain,778.0,1543300.0,0, 0, 0, 1, 0, 0,26.0275,50.55,33,38184.0,2.99,1,23,33,33,41
Bangladesh,147570.0,168371920.0,0, 0, 0, 1, 0, 0,23.685,90.3563,46,317465.0,0.42,3,3,3,3,3
Barbados,430.0,287025.0,1, 0, 0, 0, 0, 0,13.1939,-59.5432,55,5189.0,3.19,2,2,5,5,14
Belarus,207600.0,9413446.0,0, 0, 1, 0, 0, 0,53.7098,27.9534,37,62572.0,3.88,1,1,1,1,6
Belgium,30528.0,11524454.0,0, 0, 1, 0, 0, 0,50.8333,4.0,13,517609.0,8.02,1,1,1,1,1
Benin,114763.0,11733059.0,0, 0, 0, 0, 0, 1,9.3077,2.3158,54,14374.0,0.79,1,1,2,2,2
Bhutan,38394.0,741672.0,0, 0, 0, 1, 0, 0,27.5142,90.4336,44,2842.0,2.55,1,1,1,1,1
Bolivia,1098581.0,11469896.0,0, 1, 0, 0, 0, 0,-16.2902,-63.5887,49,42401.0,4.51,2,2,3,10,11
Bosnia and Herzegovina,51209.0,3301000.0,0, 0, 1, 0, 0, 0,43.9159,17.6791,43,20106.0,6.53,2,2,3,3,5
Brazil,8515767.0,211336713.0,0, 1, 0, 0, 0, 0,-14.235,-51.9253,35,1847020.0,3.96,1,1,1,2,2
Brunei,5765.0,442400.0,0, 0, 0, 1, 0, 0,4.5353,114.7277,47,12455.0,2.22,1,1,11,11,40
Bulgaria,111002.0,7000039.0,0, 0, 1, 0, 0, 0,42.7339,25.4858,46,66250.0,4.16,4,4,4,7,23
Burkina Faso,274222.0,20870060.0,0, 0, 0, 0, 0, 1,12.2383,-1.5616,48,14593.0,2.71,1,2,2,2,3
Cabo Verde,4033.0,550483.0,0, 0, 0, 0, 0, 1,16.5388,-23.0418,58,1987.0,2.97,1,3,3,3,4
Cambodia,181035.0,15288489.0,0, 0, 0, 1, 0, 0,11.55,104.9167,5,26730.0,1.33,1,1,1,1,1
Cameroon,475442.0,26545864.0,0, 0, 0, 0, 0, 1,3.848,11.5021,44,38632.0,0.63,1,1,2,2,2
Canada,9984670.0,37979093.0,1, 0, 0, 0, 0, 0,47.98290714285714,-88.40206428571427,4,1730914.0,7.48,1,1,2,2,4
Central African Republic,622984.0,5496011.0,0, 0, 0, 0, 0, 1,6.6111,20.9394,53,2321.0,0.64,1,1,1,1,3
Chad,1284000.0,16244513.0,0, 0, 0, 0, 0, 1,15.4542,18.7322,57,11026.0,0.86,1,1,1,1,3
Chile,756102.0,19107216.0,0, 1, 0, 0, 0, 0,-35.6751,-71.543,41,294237.0,5.2,1,1,4,4,8
China,9596961.0,1402030160.0,0, 0, 0, 1, 0, 0,32.828384848484845,111.64908181818181,0,14140163.0,2.91,548,643,920,1406,2877
Colombia,1141748.0,49395678.0,0, 1, 0, 0, 0, 0,4.5709,-74.2973,44,327895.0,5.31,1,1,1,1,9
Congo (Brazzaville),342000.0,5518092.0,0, 0, 0, 0, 0, 1,-4.0383,21.7587,53,11576.0,1.96,1,1,1,1,3
