Pais,Superficie,Poblacion,Namerica,Samerica,Europa,Asia,Oceania,Africa,PIB,Porcentaje de PIB en salud
Afghanistan,652230.0,32225560.0,0, 0, 0, 1, 0, 0,18734.0,0.52
Albania,28748.0,2845955.0,0, 0, 1, 0, 0, 0,15418.0,2.77
Algeria,2381741.0,43000000.0,0, 0, 0, 0, 0, 1,172781.0,4.5
Angola,1246700.0,31127674.0,0, 0, 0, 0, 0, 1,91527.0,1.27
Andorra,468.0,77543.0,0, 0, 1, 0, 0, 0,3237.0,5.09
Antigua and Barbuda,442.0,96453.0,1, 0, 0, 0, 0, 0,1688.0,2.61
Argentina,2780400.0,44938712.0,0, 1, 0, 0, 0, 0,445469.0,5.62
Armenia,29743.0,2957500.0,0, 0, 0, 1, 0, 0,13444.0,1.63
Australia,7692024.0,25665337.0,0, 0, 0, 0, 1, 0,1376255.0,6.41
Austria,83871.0,8902600.0,0, 0, 1, 0, 0, 0,447718.0,7.72
Azerbaijan,86600.0,10067108.0,0, 0, 0, 1, 0, 0,47171.0,1.38
Bahamas,13943.0,385340.0,1, 0, 0, 0, 0, 0,12664.0,3.18
Bahrain,778.0,1543300.0,0, 0, 0, 1, 0, 0,38184.0,2.99
Bangladesh,147570.0,168371920.0,0, 0, 0, 1, 0, 0,317465.0,0.42
Barbados,430.0,287025.0,1, 0, 0, 0, 0, 0,5189.0,3.19
Belarus,207600.0,9413446.0,0, 0, 1, 0, 0, 0,62572.0,3.88
Belgium,30528.0,11524454.0,0, 0, 1, 0, 0, 0,517609.0,8.02
Benin,114763.0,11733059.0,0, 0, 0, 0, 0, 1,14374.0,0.79
Bhutan,38394.0,741672.0,0, 0, 0, 1, 0, 0,2842.0,2.55
Bolivia,1098581.0,11469896.0,0, 1, 0, 0, 0, 0,42401.0,4.51
Bosnia and Herzegovina,51209.0,3301000.0,0, 0, 1, 0, 0, 0,20106.0,6.53
Brazil,8515767.0,211336713.0,0, 1, 0, 0, 0, 0,1847020.0,3.96
Brunei,5765.0,442400.0,0, 0, 0, 1, 0, 0,12455.0,2.22
Bulgaria,111002.0,7000039.0,0, 0, 1, 0, 0, 0,66250.0,4.16
Burkina Faso,274222.0,20870060.0,0, 0, 0, 0, 0, 1,14593.0,2.71
Cabo Verde,4033.0,550483.0,0, 0, 0, 0, 0, 1,1987.0,2.97
Cambodia,181035.0,15288489.0,0, 0, 0, 1, 0, 0,26730.0,1.33
Cameroon,475442.0,26545864.0,0, 0, 0, 0, 0, 1,38632.0,0.63
Canada,9984670.0,37979093.0,1, 0, 0, 0, 0, 0,1730914.0,7.48
Central African Republic,622984.0,5496011.0,0, 0, 0, 0, 0, 1,2321.0,0.64
Chad,1284000.0,16244513.0,0, 0, 0, 0, 0, 1,11026.0,0.86
Chile,756102.0,19107216.0,0, 1, 0, 0, 0, 0,294237.0,5.2
China,9596961.0,1402030160.0,0, 0, 0, 1, 0, 0,14140163.0,2.91
Colombia,1141748.0,49395678.0,0, 1, 0, 0, 0, 0,327895.0,5.31
Congo (Brazzaville),342000.0,5518092.0,0, 0, 0, 0, 0, 1,11576.0,1.96
Congo (Kinshasa),2344858.0,89561404.0,0, 0, 0, 0, 0, 1,48994.0,0.47
Costa Rica,51100.0,5058007.0,1, 0, 0, 0, 0, 0,61021.0,5.66
Cote d'Ivoire,322463.0,25823071.0,0, 0, 0, 0, 0, 1,44439.0,1.13
Croatia,56594.0,4076246.0,0, 0, 1, 0, 0, 0,60702.0,5.62
Cuba,109884.0,11209628.0,1, 0, 0, 0, 0, 0,100023.0,10.92
Cyprus,9251.0,875900.0,0, 0, 0, 1, 0, 0,24280.0,2.9
Czechia,78865.0,10693939.0,0, 0, 1, 0, 0, 0,246953.0,6.21
Denmark,43094.0,5822763.0,0, 0, 1, 0, 0, 0,347176.0,8.84
Djibouti,23200.0,1078373.0,0, 0, 0, 0, 0, 1,3166.0,1.6
Dominican Republic,48671.0,10358320.0,1, 0, 0, 0, 0, 0,89475.0,2.82
Ecuador,276841.0,17456724.0,0, 1, 0, 0, 0, 0,107914.0,4.29
Egypt,1002450.0,100200135.0,0, 0, 0, 0, 0, 1,302256.0,1.36
El Salvador,21041.0,6486201.0,1, 0, 0, 0, 0, 0,26871.0,4.49
Equatorial Guinea,28051.0,1358276.0,0, 0, 0, 0, 0, 1,12142.0,0.79
Eritrea,117600.0,3497117.0,0, 0, 0, 0, 0, 1,2110.0,0.86
Estonia,45227.0,1328360.0,0, 0, 1, 0, 0, 0,31038.0,4.85
Eswatini,17364.0,1093238.0,0, 0, 0, 0, 0, 1,4657.0,5.33
Ethiopia,1104300.0,98665000.0,0, 0, 0, 0, 0, 1,91166.0,1.1
Fiji,18272.0,884887.0,0, 0, 0, 0, 1, 0,5708.0,2.21
Finland,338424.0,5527573.0,0, 0, 1, 0, 0, 0,269654.0,6.84
France,640679.0,67076000.0,0, 0, 1, 0, 0, 0,2707074.0,9.32
Gabon,267668.0,2172579.0,0, 0, 0, 0, 0, 1,16877.0,2.01
Gambia,11295.0,2347706.0,0, 0, 0, 0, 0, 1,1773.0,0.82
Georgia,69700.0,3723464.0,0, 0, 0, 1, 0, 0,15925.0,3.08
Germany,357114.0,83149300.0,0, 0, 1, 0, 0, 0,3863344.0,9.48
Ghana,238533.0,30280811.0,0, 0, 0, 0, 0, 1,67077.0,1.71
Greece,131957.0,10724599.0,0, 0, 1, 0, 0, 0,214012.0,4.73
